empresa_key,ruc_empresa,estado_ruc,tipo_contribuyente,departamento_empresa,nombre_empresa
1,20532491160,SIN VERIFICAR,SIN DATO,LIMA,PEGASUS RENT A CAR S.A.C.
2,20602352995,SIN VERIFICAR,SIN DATO,LIMA,LA NUEVA RUTA ALLINCAPAC SOCIEDAD ANONIMA CERRADA - ALLINCAPAC S.A.C.
3,20120578813,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES APOCALIPSIS S.A.
4,20527705721,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES EXPRESO Y TURISMO REAL S.A.C.
5,20100227461,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES CRUZ DEL SUR S.A.C.
6,20438933272,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES LINEA S.A.
7,20480150857,SIN VERIFICAR,SIN DATO,LIMA,TORRES ASOCIADOS S.R.L.
8,20323097128,SIN VERIFICAR,SIN DATO,LIMA,RIVER TOURS EIRL
9,20105752149,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES EL CUMBE S.A.C.
10,20454266961,SIN VERIFICAR,SIN DATO,LIMA,TURISMO JUAN PABLO II S.R.L.
11,20444985969,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES TURISMO SR. DE ATACO SOCIEDAD ANONIMA CERRADA
12,20413390479,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES REY LATINO E.I.R.L.
13,20467225821,SIN VERIFICAR,SIN DATO,LIMA,LAOS & ASOCIADOS S.R.L.
14,20527413860,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES DISA E.I.R.L.
15,20188362207,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES AMERICA DEL SUR S.A.C.
16,20510077271,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS MULTIPLES MACEDO E.I.R.L.
17,20478966653,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES ROMERO S.A.C.
18,20488563654,SIN VERIFICAR,SIN DATO,LIMA,SERVITUR NIETO E.I.R.L.
19,20543102858,SIN VERIFICAR,SIN DATO,LIMA,TURISMO PAUCARTAMBO E.I.R.L.
20,20119407738,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES FLORES HERMANOS S.C.R.LTDA. - FLORES HERMANOS S.C.R.LTDA.
21,20453858333,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES TURISTICOS ROYAL PERU E.I.R.L.
22,20326783197,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES CAMINOS DEL INCA S.R.L.
23,20518889444,SIN VERIFICAR,SIN DATO,LIMA,BUS SERVICE AUTOMOTRIZ S.A.C
24,20103626448,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES CHICLAYO S.A.
25,20551037551,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES COSTA ANDINA S.A.C
26,20101354602,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES CARMELO S.R.L.
27,20417931393,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES EXPRESO INTERNACIONAL PALOMINO S.A.C.
28,20495669999,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES HERRERA EIRL
29,20545712327,SIN VERIFICAR,SIN DATO,LIMA,PERU MUNDO TOURS & TRANSPORTES E.I.R.L.
30,20216249934,SIN VERIFICAR,SIN DATO,LIMA,EMP TRANSP EXP NAC CERRO PASCO SRL
31,20403002101,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANS CRUZ DEL NORTE SAC
32,20600106482,SIN VERIFICAR,SIN DATO,LIMA,JEMILSA TRANS TOURS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - JEMILSA TRANS TOURS E.I.R.L.
33,20477315268,SIN VERIFICAR,SIN DATO,LIMA,TURISMO GENERALES SAN MATEO  S.A.C.
34,20220809898,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES ANDINO E.I.R.L.
35,20550544874,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE GUADALUPE TOURS S.A.C.
36,20448644953,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES JUNIOR SAN ROMAN S.C.R.L.
37,20551572278,SIN VERIFICAR,SIN DATO,LIMA,CONTRATISTAS GENERALES GUERRA S.A.C.
38,20447104122,SIN VERIFICAR,SIN DATO,LIMA,BAHIA CONTINENTAL S.A.C
39,20142834121,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES CECILIA MARTIN E.I.R.L.
40,20454521073,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTE TURISTICO PERU E.I.R.L.
41,20514263044,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES Y SERVICIOS SANTA MARINA S.A.C.
42,20433226641,SIN VERIFICAR,SIN DATO,LIMA,MULTISERV. Y CONTRATISTAS SAILORS SAC
43,20358896121,SIN VERIFICAR,SIN DATO,LIMA,EXCURSIONES OASIS E.I.R.L.
44,20454707681,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES ROBERTO TALAVERA HERRERA E.I.R.L.
45,20453855075,SIN VERIFICAR,SIN DATO,LIMA,ALFATUR E.I.R.L.
46,20547903171,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES EXPRESO SELVA E.I.R.L.
47,20380494532,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES TURISTICOS ROJAS S.A.
48,20229913884,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTE DE TURISMO Y AGENCIA DE VIAJES UNIVERSO TOURS S.R.L.
49,20511837546,SIN VERIFICAR,SIN DATO,LIMA,TURISMO INTERNACIONAL SERVIS S.A.C.
50,20530945970,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA MULTISECTORIAL DE AYASH S.A.
51,20551838219,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTE DE TURISMO EXPRESS COLQUE LOPEZ S.A.C.
52,20539600908,SIN VERIFICAR,SIN DATO,LIMA,TURISMO LA VELOZ DEL COLCA S.A.C.
53,20552614667,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTE VIA SEGURA S.A.C.
54,20532396175,SIN VERIFICAR,SIN DATO,LIMA,A.C.D. S.R.L.
55,20116446864,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE TURISTICO TIERRA MAGICA DE LOS INCAS S.R.L.
56,20563965437,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES & JUANITO TOUR SOCIEDAD ANONIMA CERRADA
57,20327261780,SIN VERIFICAR,SIN DATO,LIMA,VIRGINIA TALAVERA S.A.C.
58,20134167298,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE MARTINEZ S.A.C.
59,20447023394,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES G M INTERNACIONAL S.A.C.
60,20515659324,SIN VERIFICAR,SIN DATO,LIMA,TURISMO INTERNACIONAL PALOMINO SOCIEDAD ANONIMA CERRADA - TURISMO INTERNACIONAL PALOMINO S.A.C.
61,20455041661,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES TURISTICOS RUTAS ANDINAS E.I.R.L.
62,20527685860,SIN VERIFICAR,SIN DATO,LIMA,JEAN RAUL TOURS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
63,20518725760,SIN VERIFICAR,SIN DATO,LIMA,EXPRESO INTERNACIONAL VIRGEN DE CHAPI E.I.R.L.
64,20513903775,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y SERVICIOS MATEO S.A.C. - TRANSMATEO S.A.C.
65,20539690974,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE TOURS TURISMO RAYO EXPRESO S.A.C.
66,20277888077,SIN VERIFICAR,SIN DATO,LIMA,EXPORT TOUR E.I.R.L.
67,20392562401,SIN VERIFICAR,SIN DATO,LIMA,CROWN TAXI & REMISSE S.A.C
68,20133605291,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES AVE FENIX S.A.C.
69,20125379304,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES NUESTRA SEÃ‘ORA DE LA MERCED S.A.C. - NUESTRA SEÃ‘ORA DE LA MERCED S.A.C.
70,20480667809,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA TURISMO ATAHUALPA SERVICIOS GENERALES S.C.R.L.
71,20527293601,SIN VERIFICAR,SIN DATO,LIMA,INTI WIRACOCHA AGENCIA DE VIAJES Y TURISMO E.I.R.L.
72,20454481691,SIN VERIFICAR,SIN DATO,LIMA,RAUL CUELA ESTRADA E.I.R.L.
73,20519591597,SIN VERIFICAR,SIN DATO,LIMA,SOLUCIONES IDEALES E.I.R.L.
74,20396742897,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES ROYAL PALACE`S  S.A.
75,20223415611,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES TURISTICO EL VIAJERO S.C.R.L.
76,20100227895,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES ANGEL IBARCENA S.A.C.
77,20498455370,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y TURISMO REYNA S.R.L.
78,20371069845,SIN VERIFICAR,SIN DATO,LIMA,GUARDIANES DEL COSMOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA
79,20461499717,SIN VERIFICAR,SIN DATO,LIMA,CORPORACION SUPER LATINO S.A.
80,20137760241,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES ARELLANO DE PERSONAL S.A.C.
81,20510243464,SIN VERIFICAR,SIN DATO,LIMA,TOP MASTER E.I.R.L.
82,20119446806,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES TURISTICOS SANTA MONICA DE TACNA S.R.LTDA.
83,20480029195,SIN VERIFICAR,SIN DATO,LIMA,TURISMO SEÃ‘OR DE LA HUMILDAD S.R.L.
84,20532855978,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES HEROES DEL PACIFICO S.R.L.
85,20506988404,SIN VERIFICAR,SIN DATO,LIMA,PERU SOUTHAMERIS TRAVEL E.I.R.L.
86,20477268324,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES TURISTICOS Y SERVICIOS GENERALES CRUZ DE REYES S.A.C.
87,20555901179,SIN VERIFICAR,SIN DATO,LIMA,MOVIL BUS S.A.C
88,20219774207,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA CAPLINA DE TRANSPORTES TURISTICOS INTERNACIONALES S.R.L. -  CE - TUR S.R.L.
89,20485979477,SIN VERIFICAR,SIN DATO,LIMA,TURISMO ZL EXPRESS E.I.R.L.
90,20505365217,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y TURISMO RARAZ SAC
91,20392630768,SIN VERIFICAR,SIN DATO,LIMA,FLOR MOVIL S.A.C.
92,20558124033,SIN VERIFICAR,SIN DATO,LIMA,LARICO TURBO S.A.C.
93,20368402851,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES ZULMA E.I.R.L.
94,20447947995,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y TURISMO KHANTATY TOURS S.R.L.
95,20498640860,SIN VERIFICAR,SIN DATO,LIMA,COLCA TREK E.I.R.L.
96,20566548101,SIN VERIFICAR,SIN DATO,LIMA,CARHUAMAYO PERU S.A.C.
97,20440332839,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES LOS ANDES SOCIEDAD DE RESPONSABILIDAD LIMITADA
98,20452235073,SIN VERIFICAR,SIN DATO,LIMA,BUGANVILLA TOURS S.A.C.
99,20558216159,SIN VERIFICAR,SIN DATO,LIMA,JOLWA E.I.R.L.
100,20454941447,SIN VERIFICAR,SIN DATO,LIMA,M & M TRANSPORTES Y SERVICIOS E.I.R.L.
101,20519070198,SIN VERIFICAR,SIN DATO,LIMA,VENTAS  Y  SERVICIOS  MULTI  SOCIEDAD  ANONIMA  CERRADA
102,20536810774,SIN VERIFICAR,SIN DATO,LIMA,SUIZA MOTO S.A.C.
103,20511610681,SIN VERIFICAR,SIN DATO,LIMA,J Y A TRANSPORTE TURISTICO E.I.R.L.
104,20454619804,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS DE TRANSPORTES ESTRELLA DE DAVID S.R.L. - SETRANS ESTRELLA DE DAVID
105,20497047715,SIN VERIFICAR,SIN DATO,LIMA,S.V. WIÃ‘ARY TOUR E.I.R.L.
106,20547735791,SIN VERIFICAR,SIN DATO,LIMA,TEDDY TOURS E.I.R.L.
107,20492532062,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y SERVICIOS TURISTICOS EL PERUANITO S.A.C.
108,20102427891,SIN VERIFICAR,SIN DATO,LIMA,TURISMO CIVA S.A.C.
109,20121662737,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES TRANSZELA S.R.L.T.D.A.
110,20494643805,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES JB SOCIEDAD ANONIMA CERRADA
111,20510763387,SIN VERIFICAR,SIN DATO,LIMA,JOMI TOURS S.A.C
112,20527386285,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES TURISTICAS EVELYN S.A.C.
113,20383045267,SIN VERIFICAR,SIN DATO,LIMA,VOLCAN COMPAÃ‘IA MINERA S.A.A.
114,20571533180,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA COMUNAL DE SERVICIOS MULTIPLES OYON - ECOSERMO
115,20557919962,SIN VERIFICAR,SIN DATO,LIMA,TRINY RENTAL SOCIEDAD ANONIMA CERRADA
116,20413670323,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES H.M. TOURS E.I.R.L.
117,20441143215,SIN VERIFICAR,SIN DATO,LIMA,CORAZON SERRANO E.I.R.L.
118,20602714234,SIN VERIFICAR,SIN DATO,LIMA,TURISMO SARANQUIMA DEL PERU S.R.L.
119,20511598371,SIN VERIFICAR,SIN DATO,LIMA,TARUKA TOURS EIRL
120,20453818544,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES NUEVO MUNDO S.A.C.
121,20486084261,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS DE TRANSPORTES Y MANTENIMIENTO MECANICO INDUSTRIAL EL MILAGRO SOCIEDAD ANONIMA CERRADA
122,20543937097,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y TURISMO INTERNACIONAL CARLITOS S.A.C.
123,20546119271,SIN VERIFICAR,SIN DATO,LIMA,FIESTA CAJAMARQUINA S.A.C.
124,20533702920,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES PARAÃSO DE LOS ANDES S.R.L.
125,20489981948,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES TURISTICOS MERRY'S TOURS S.A.C.
126,20330025728,SIN VERIFICAR,SIN DATO,LIMA,EXPRESO TURISMO ANDINO S.A.
127,20454379579,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES DE PERSONAL Y TURISMO SIPIA TOURS SIPIA TOURS E.I.R.L. / SIPIA TOURS E.I.R.L.
128,20442321206,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES EXPRESO JIMMY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA
129,20505209193,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTE WARI SOCIEDAD ANONIMA CERRADA TRANSPORTE WARI S.A.C.
130,20114111342,SIN VERIFICAR,SIN DATO,LIMA,AMERICA EXPRESS S.A.
131,20501622819,SIN VERIFICAR,SIN DATO,LIMA,TRANSMAR EXPRESS SAC
132,20495645038,SIN VERIFICAR,SIN DATO,LIMA,HESAM SRL
133,20511594384,SIN VERIFICAR,SIN DATO,LIMA,NEW LUCKY TRAVELS S.A.C.
134,20454519923,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES F/Y TOUR S.R.L.
135,20447744024,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES TURISTICO Y SERVICIOS MULTIPLES PLANETA TOURS E.I.R.L.
136,20454275447,SIN VERIFICAR,SIN DATO,LIMA,MBJ BIENES Y SERVICIOS INDUSTRIALES SOCIEDAD ANONIMA CERRADA - MBJ S.A.C
137,20527359636,SIN VERIFICAR,SIN DATO,LIMA,TURISMO VASQUEZ E.I.R.L.
138,20481320900,SIN VERIFICAR,SIN DATO,LIMA,BAGSERVIS S.A.C.
139,20486277905,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES EDATUR S.R.L.
140,20532977909,SIN VERIFICAR,SIN DATO,LIMA,TURISMO SUEÃ‘O DORADO E.I.R.L.
141,20443112911,SIN VERIFICAR,SIN DATO,LIMA,AVALOS TOURS E.I.R.L.
142,20455586811,SIN VERIFICAR,SIN DATO,LIMA,TUTI TOURS S.R.L.
143,20551533370,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES GENERALES TOURS HUASCARAN S.A.C.
