geografia_key,departamento,provincia,distrito,region_natural,zona_comercial
1,CUSCO,,,SIERRA,SUR
2,LIMA,,,COSTA,LIMA
3,PUNO,,,SIERRA,SUR
4,AREQUIPA,,,COSTA,SUR
5,HUANUCO,,,SIERRA,CENTRO
6,LA LIBERTAD,,,COSTA,NORTE
7,TACNA,,,COSTA,SUR
8,JUNIN,,,SIERRA,CENTRO
9,PIURA,,,COSTA,NORTE
10,ICA,,,COSTA,CENTRO
11,ANCASH,,,COSTA,NORTE
12,CAJAMARCA,,,SIERRA,NORTE
13,AYACUCHO,,,SIERRA,CENTRO
14,LAMBAYEQUE,,,COSTA,NORTE
15,SAN MARTIN,,,SIERRA,ORIENTE
16,UCAYALI,,,SELVA,ORIENTE
17,APURIMAC,,,SIERRA,SUR
18,AMAZONAS,,,SIERRA,ORIENTE
19,LORETO,,,SELVA,ORIENTE
20,PASCO,,,SIERRA,CENTRO
21,MOQUEGUA,,,COSTA,SUR
22,TUMBES,,,COSTA,NORTE
23,MADRE DE DIOS,,,SELVA,ORIENTE
24,HUANCAVELICA,,,SIERRA,CENTRO
25,CONO SUR,,,DESCONOCIDO,OTRO
26,CAN,,,DESCONOCIDO,OTRO
27,LIMA,LIMA,LIMA,COSTA,LIMA
28,APURIMAC,ABANCAY,ABANCAY,SIERRA,SUR
29,PIURA,PIURA,PIURA,COSTA,NORTE
30,LAMBAYEQUE,CHICLAYO,CHICLAYO,COSTA,NORTE
31,TACNA,TACNA,TACNA,COSTA,SUR
32,TUMBES,TUMBES,TUMBES,COSTA,NORTE
33,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,SIERRA,ORIENTE
34,JUNIN,HUANCAYO,HUANCAYO,SIERRA,CENTRO
35,UCAYALI,CORONEL PORTILLO,PUCALLPA,SELVA,ORIENTE
36,ICA,ICA,ICA,COSTA,CENTRO
37,LA LIBERTAD,TRUJILLO,TRUJILLO,COSTA,NORTE
38,AREQUIPA,AREQUIPA,AREQUIPA,COSTA,SUR
39,AYACUCHO,HUAMANGA,HUAMANGA,SIERRA,CENTRO
40,CAJAMARCA,CAJAMARCA,CAJAMARCA,SIERRA,NORTE
41,HUANUCO,HUANUCO,HUANUCO,SIERRA,CENTRO
42,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SIERRA,ORIENTE
43,CUSCO,CUSCO,CUSCO,SIERRA,SUR
44,PUNO,PUNO,PUNO,SIERRA,SUR
45,MADRE DE DIOS,TAMBOPATA,PUERTO MALDONADO,SELVA,ORIENTE
46,ANCASH,HUARAZ,HUARAZ,COSTA,NORTE
47,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,COSTA,SUR
48,PASCO,PASCO,CERRO DE PASCO,SIERRA,CENTRO
