marca_modelo_key,marca_normalizada,marca_grupo,modelo_inferido,segmento
1,MERCEDES-BENZ,MB,ATEGO,BUS MEDIANO
2,RENAULT,RN,MASTER,DESCONOCIDO
3,MERCEDES-BENZ,MB,SPRINTER,BUS MEDIANO
4,MERCEDES-BENZ,MB,SPRINTER,DESCONOCIDO
5,MERCEDES-BENZ,MB,ACCELO,BUS MEDIANO
6,MERCEDES-BENZ,MB,OF SERIES,BUS MEDIANO
7,MERCEDES-BENZ,MB,-,DESCONOCIDO
8,MERCEDES-BENZ,MB,MB INDIA,BUS MEDIANO
9,MERCEDES-BENZ,MB,MERCEDES-BENZ (importado),DESCONOCIDO
10,MERCEDES-BENZ,MB,-,BUS MEDIANO
11,MERCEDES-BENZ,MB,OF 1721,BUS MEDIANO
12,MERCEDES-BENZ,MB,93YMEN4KEFJ268906,DESCONOCIDO
13,MERCEDES-BENZ,MB,MERCEDES-BENZ (importado),BUS MEDIANO
14,MERCEDES-BENZ,MB,9BM534071HB046489,BUS MEDIANO
15,MERCEDES-BENZ,MB,WDCDA5GB4GA651343,DESCONOCIDO
16,MERCEDES-BENZ,MB,9BM694081DB808662,BUS MEDIANO
17,MERCEDES-BENZ,MB,ACCELO,DESCONOCIDO
18,MERCEDES-BENZ,MB,98M6882765B427062,BUS MEDIANO
19,MERCEDES-BENZ,MB,9BM404011EB810010,BUS MEDIANO
20,MERCEDES-BENZ,MB,9BM394180GA010167,BUS MEDIANO
21,MERCEDES-BENZ,MB,ATEGO,DESCONOCIDO
22,MERCEDES-BENZ,MB,9BM394079JB000110,BUS MEDIANO
23,MERCEDES-BENZ,MB,9BM728228HB899908,BUS MEDIANO
24,MERCEDES-BENZ,MB,9BM363976HB000101,BUS MEDIANO
25,MERCEDES-BENZ,MB,9BM404011EB810011,BUS MEDIANO
26,MERCEDES-BENZ,MB,9BM404011EB810012,BUS MEDIANO
27,MERCEDES-BENZ,MB,9BM394079JB000111,BUS MEDIANO
28,MERCEDES-BENZ,MB,38408911108796,BUS MEDIANO
29,MERCEDES-BENZ,MB,9BM394179GA010166,BUS MEDIANO
30,MERCEDES-BENZ,MB,9BM383475HB003103,BUS MEDIANO
31,MERCEDES-BENZ,MB,9BM373977HB008001,BUS MEDIANO
32,MERCEDES-BENZ,MB,9BM394179FA010165,BUS MEDIANO
33,MERCEDES-BENZ,MB,9BM404011HB810012,BUS MEDIANO
34,MERCEDES-BENZ,MB,BAC906633GE128552,DESCONOCIDO
35,MERCEDES-BENZ,MB,DESCONOCIDO,BUS MEDIANO
36,MERCEDES-BENZ,MB,PBM384088JB819726,BUS MEDIANO
37,MERCEDES-BENZ,MB,34405811494000,BUS MEDIANO
38,RENAULT,RN,RENAULT (importado),DESCONOCIDO
39,MERCEDES-BENZ,MB,SPRINTER,MICROBUS
40,MERCEDES-BENZ,MB,ATEGO ESPECIAL,MICROBUS
41,MERCEDES-BENZ,MB,35810115154246,MICROBUS
42,MERCEDES-BENZ,MB,3581110670217,MICROBUS
43,MERCEDES-BENZ,MB,36308210860276,MICROBUS
44,MERCEDES-BENZ,MB,37603212508658,MICROBUS
45,MERCEDES-BENZ,MB,377984U0746865,DESCONOCIDO
46,MERCEDES-BENZ,MB,37830412002895,MICROBUS
47,MERCEDES-BENZ,MB,37839011003416,DESCONOCIDO
48,MERCEDES-BENZ,MB,37839012003299,MICROBUS
49,MERCEDES-BENZ,MB,38101715029389,MICROBUS
50,MERCEDES-BENZ,MB,MERCEDES-BENZ (importado),MICROBUS
51,MERCEDES-BENZ,MB,38105215083650,MICROBUS
52,MERCEDES-BENZ,MB,38301814795736,MICROBUS
53,MERCEDES-BENZ,MB,38502614824435,MICROBUS
54,MERCEDES-BENZ,MB,38502814619088,MICROBUS
55,MERCEDES-BENZ,MB,38522914679048,MICROBUS
56,MERCEDES-BENZ,MB,38901314319498,MICROBUS
57,MERCEDES-BENZ,MB,39332114884321,MICROBUS
58,MERCEDES-BENZ,MB,39357614469599,MICROBUS
59,MERCEDES-BENZ,MB,395312,DESCONOCIDO
60,MERCEDES-BENZ,MB,39532614857790,MICROBUS
61,MERCEDES-BENZ,MB,39532614859011,MICROBUS
62,MERCEDES-BENZ,MB,39532614859892,MICROBUS
63,MERCEDES-BENZ,MB,39532614860518,MICROBUS
64,MERCEDES-BENZ,MB,39532614864678,MICROBUS
65,MERCEDES-BENZ,MB,39532614864754,MICROBUS
66,MERCEDES-BENZ,MB,39532614947686,MICROBUS
67,MERCEDES-BENZ,MB,39542514188961,MICROBUS
68,MERCEDES-BENZ,MB,39544214389166,MICROBUS
69,MERCEDES-BENZ,MB,3AM68513350032992,DESCONOCIDO
70,MERCEDES-BENZ,MB,3AM68514550036975,MICROBUS
71,MERCEDES-BENZ,MB,3AM68515350031948,MICROBUS
72,MERCEDES-BENZ,MB,3AM68524750037077,MICROBUS
73,MERCEDES-BENZ,MB,3AM68525850040625,DESCONOCIDO
74,MERCEDES-BENZ,MB,3AM68525850040630,DESCONOCIDO
75,MERCEDES-BENZ,MB,ACCELO,MICROBUS
76,MERCEDES-BENZ,MB,34111810010231,MICROBUS
77,MERCEDES-BENZ,MB,404114056866,MICROBUS
78,MERCEDES-BENZ,MB,35300210848151,MICROBUS
79,RENAULT,RN,MASTER,MICROBUS
