tiempo_key,anno,decada,rango_antiguedad,es_reciente
1960,1960,1960s,20+ años,False
1961,1961,1960s,20+ años,False
1963,1963,1960s,20+ años,False
1964,1964,1960s,20+ años,False
1966,1966,1960s,20+ años,False
1967,1967,1960s,20+ años,False
1968,1968,1960s,20+ años,False
1970,1970,1970s,20+ años,False
1971,1971,1970s,20+ años,False
1972,1972,1970s,20+ años,False
1973,1973,1970s,20+ años,False
1974,1974,1970s,20+ años,False
1975,1975,1970s,20+ años,False
1976,1976,1970s,20+ años,False
1977,1977,1970s,20+ años,False
1978,1978,1970s,20+ años,False
1979,1979,1970s,20+ años,False
1980,1980,1980s,20+ años,False
1981,1981,1980s,20+ años,False
1982,1982,1980s,20+ años,False
1983,1983,1980s,20+ años,False
1984,1984,1980s,20+ años,False
1985,1985,1980s,20+ años,False
1986,1986,1980s,20+ años,False
1987,1987,1980s,20+ años,False
1988,1988,1980s,20+ años,False
1989,1989,1980s,20+ años,False
1990,1990,1990s,20+ años,False
1991,1991,1990s,20+ años,False
1992,1992,1990s,20+ años,False
1993,1993,1990s,20+ años,False
1994,1994,1990s,20+ años,False
1995,1995,1990s,20+ años,False
1996,1996,1990s,20+ años,False
1997,1997,1990s,20+ años,False
1998,1998,1990s,20+ años,False
1999,1999,1990s,20+ años,False
2000,2000,2000s,20+ años,False
2001,2001,2000s,20+ años,False
2002,2002,2000s,20+ años,False
2003,2003,2000s,20+ años,False
2004,2004,2000s,16-20 años,False
2005,2005,2000s,16-20 años,False
2006,2006,2000s,16-20 años,False
2007,2007,2000s,16-20 años,False
2008,2008,2000s,16-20 años,False
2009,2009,2000s,11-15 años,False
2010,2010,2010s,11-15 años,False
2011,2011,2010s,11-15 años,False
2012,2012,2010s,11-15 años,False
2013,2013,2010s,11-15 años,False
2014,2014,2010s,6-10 años,False
2015,2015,2010s,6-10 años,False
2016,2016,2010s,6-10 años,False
2017,2017,2010s,6-10 años,False
2018,2018,2010s,6-10 años,False
2019,2019,2010s,0-5 años,True
2020,2020,2020s,0-5 años,True
2021,2021,2020s,0-5 años,True
2022,2022,2020s,0-5 años,True
2023,2023,2020s,0-5 años,True
2024,2024,2020s,0-5 años,True
2025,2025,2020s,0-5 años,True
