vehiculo_specs_key,ejes,llantas,largo_m,ancho_m,alto_m
1,2,6,,2.35,
2,2,6,,2.34,
3,2,4,,2.07,
4,3,8,,2.58,
5,3,8,,2.6,
6,2,6,,1.993,
7,2,6,,2.38,
8,2,6,,2.39,
9,2,6,,2.6,
10,2,6,,2.02,
11,2,6,,1.99,
12,2,6,,2.4,
13,2,4,,1.99,
14,2,6,,2.56,
15,2,6,,2.5,
16,2,6,,2.469,
17,4,10,,2.5,
18,2,6,,2.3,
19,2,4,,1.993,
20,2,4,,1.92,
21,3,8,,2.54,
22,2,6,,2.44,
23,2,6,,2.58,
24,2,4,,1.832,
25,2,6,,2.42,
26,2,4,,2.02,
27,2,6,,2.45,
28,2,6,,2.52,
29,2,4,,1.813,
30,2,6,,2.54,
31,2,6,,2.53,
32,3,8,,2.55,
33,2,6,,2.57,
34,2,6,,2.48,
35,2,6,,2.55,
36,2,6,,2.36,
37,2,6,,2.33,
38,2,4,,1.822,
39,3,8,,2.57,
40,2,6,,2.429,
41,4,10,,2.6,
42,2,4,,1.93,
43,2,6,,1.98,
44,4,10,,2.58,
45,2,6,,2.24,
46,2,6,,2.203,
47,2,6,,2.25,
48,3,6,,2.6,
49,2,6,,2.37,
50,2,4,,2.49,
51,3,8,,2.65,
52,2,6,,2.16,
53,3,8,,2.5,
54,3,8,,2.477,
55,2,6,,2.59,
56,2,6,,2.32,
57,3,8,,2.56,
58,3,8,,0.26,
59,2,6,,2.28,
60,2,6,,2.41,
61,2,4,,1.75,
62,2,4,,2.0,
63,2,4,,1.727,
64,2,6,,2.51,
65,4,10,,2.46,
66,3,0,,2.6,
67,2,0,,2.5,
68,3,0,,,
69,2,6,,2.47,
70,2,6,,2.27,
71,2,4,,2.4,
72,2,4,,1.855,
73,2,6,,2.29,
74,2,6,,2.2,
75,3,10,9.36,2.6,3.45
76,3,10,10.95,2.6,3.67
77,3,10,12.0,2.6,4.1
78,4,12,12.3,2.6,4.1
79,2,6,9.45,2.6,3.4
80,2,4,5.9,2.45,2.6
81,3,10,11.4,2.6,3.8
82,2,6,5.9,2.45,2.6
83,3,10,13.2,2.6,4.1
84,3,10,9.35,2.6,3.6
85,3,10,5.7,2.2,2.9
86,2,6,5.5,2.0,3.0
87,2,,8.7,2.58,8.7
88,3,10,10.8,2.6,3.65
89,2,6,7.1,2.2,3.1
90,3,10,9.5,2.5,3.1
91,2,,5.88,2.4,2.8
92,2,6,4.68,2.0,2.4
93,2,6,10.1,2.5,3.1
94,4,12,8.48,2.6,3.42
95,2,6,12.3,2.6,4.1
96,2,6,6.9,2.6,3.2
97,2,6,7.15,2.2,3.1
98,2,6,9.45,2.6,3.7
99,2,6,7.9,2.52,2.9
100,3,10,11.85,2.5,4.1
101,3,10,7.4,2.55,3.2
102,3,10,11.1,2.6,3.75
103,2,6,9.32,2.6,3.52
104,2,6,6.6,2.45,2.8
105,2,6,10.0,2.6,3.39
106,3,10,7.56,2.47,3.3
107,3,8,7.2,2.5,3.8
108,3,10,11.4,2.6,3.95
109,4,12,11.2,2.6,4.1
110,2,6,8.8,2.55,3.2
111,4,14,12.2,2.6,3.75
112,3,,36.7,2.64,3.06
113,3,10,9.95,2.57,3.65
114,2,6,9.4,2.5,3.6
115,2,6,9.1,2.6,3.4
116,3,10,9.95,2.69,3.65
117,3,10,11.6,2.6,4.1
118,3,10,11.9,2.6,4.0
119,3,10,9.95,2.59,3.65
120,3,10,9.61,2.55,3.2
121,2,6,9.5,2.6,3.7
122,3,10,11.8,2.6,4.05
123,2,6,9.07,2.6,3.3
124,2,6,10.1,2.6,3.6
125,2,6,9.4,2.6,4.1
126,3,10,7.25,2.46,3.3
127,4,12,12.0,2.6,3.5
128,3,10,11.3,2.6,3.5
129,4,12,11.4,2.6,3.8
130,3,10,11.6,2.6,3.5
131,3,10,9.3,2.5,3.9
132,3,10,10.1,2.6,3.55
133,3,10,9.45,2.51,3.38
134,3,10,11.5,2.6,3.7
135,3,10,10.94,2.6,3.9
136,3,10,7.1,2.45,3.4
137,3,10,7.2,2.45,3.0
138,3,10,11.75,2.6,3.5
139,2,,7.5,2.55,3.0
140,4,12,8.88,2.6,3.62
141,4,12,8.5,2.6,3.43
142,3,10,11.5,2.6,4.1
143,2,6,9.8,2.6,3.45
144,4,12,8.51,2.6,3.5
145,4,12,8.6,2.6,3.62
146,2,6,9.9,2.6,3.7
147,3,10,11.4,2.6,3.4
148,2,6,10.9,2.6,3.4
149,3,10,7.675,2.6,3.465
150,2,6,8.19,2.6,2.78
151,2,6,8.3,2.38,2.9
152,2,6,10.1,2.6,3.78
153,2,6,9.5,2.6,4.0
154,3,10,11.7,2.6,4.1
155,2,6,9.7,2.6,4.1
156,3,10,10.0,2.6,4.1
157,4,14,12.0,2.6,4.0
158,2,6,8.57,2.4,3.22
159,2,6,9.2,2.6,3.66
160,3,10,10.8,2.6,4.06
161,3,10,11.6,2.6,3.7
162,3,10,8.25,2.6,3.4
163,3,10,12.1,2.6,4.1
164,3,10,10.7,2.6,3.9
165,3,10,11.1,2.6,4.1
166,3,10,9.0,2.5,3.48
167,3,10,9.452,2.494,3.86
168,3,10,9.86,2.6,3.55
169,3,10,9.45,2.6,3.6
170,3,,10.9,2.6,3.8
171,3,10,9.8,2.6,3.95
172,3,10,9.46,2.5,3.2
173,2,6,9.65,2.6,3.65
174,2,6,8.73,2.486,2.9
175,3,10,10.5,2.6,3.8
176,3,,7.22,2.53,3.28
177,3,,7.34,2.43,3.36
178,2,6,6.5,2.21,2.46
179,2,,6.44,2.21,2.47
180,3,10,11.34,2.6,4.1
181,4,12,11.75,2.6,3.5
182,4,12,11.9,2.6,3.7
183,2,6,7.05,2.3,3.4
184,2,,7.34,2.48,3.25
185,2,,7.5,2.48,3.28
186,2,6,7.35,2.31,3.26
187,3,10,9.5,2.6,3.85
188,3,10,11.7,2.6,3.7
189,2,6,6.5,2.438,2.684
190,4,12,11.9,2.6,4.1
191,3,10,11.4,2.6,3.9
192,3,10,11.43,2.56,4.0
193,2,6,10.2,2.6,4.1
194,4,14,11.7,2.6,3.8
195,2,6,10.2,2.6,3.75
196,2,6,9.5,2.5,3.55
197,2,6,9.7,2.4,3.5
198,3,10,10.05,2.57,4.05
199,3,10,11.3,2.6,3.9
200,3,10,9.45,2.49,3.13
201,2,6,5.82,2.56,2.73
202,2,6,7.3,2.5,3.0
203,2,4,5.1,2.05,2.75
204,2,6,7.46,2.6,3.22
205,2,6,10.5,2.6,3.6
206,3,10,9.46,2.6,3.6
207,3,10,9.46,2.6,3.65
208,3,10,11.2,2.6,4.1
209,2,4,3.99,1.67,1.86
210,2,6,9.95,2.6,4.08
211,2,6,4.74,1.95,2.23
212,2,6,9.2,2.55,3.7
213,2,6,9.5,2.6,4.1
214,4,12,8.5,2.6,3.75
215,2,6,10.5,2.6,4.0
216,2,6,9.0,2.6,3.5
217,3,10,11.7,2.6,3.75
218,2,6,9.5,2.6,3.9
219,4,12,11.6,2.6,4.05
220,3,10,11.5,2.6,3.8
221,2,6,9.0,2.57,3.6
222,3,,9.45,2.5,3.3
223,2,6,9.892,2.6,3.38
224,3,10,10.8,2.6,3.6
225,2,6,7.7,2.5,2.8
226,2,6,7.1,2.4,3.4
227,2,6,7.9,2.4,2.95
228,2,6,9.3,2.6,3.55
229,2,6,12.2,2.6,4.1
