vehiculo_id,placa,marca_modelo_key,empresa_key,tiempo_fabricacion_key,geografia_key,vehiculo_specs_key,clase_vehicular,combustible,asientos,capacidad_carga_kg,antiguedad_anios,rango_antiguedad,es_reciente,region_natural,zona_comercial,decada,fuente_datos
1,T8Z959,1,1,2018.0,1,1,OMNIBUS,,,2.8,6,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
2,T8Z956,1,1,2018.0,2,1,OMNIBUS,,,2.8,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
3,F5O969,1,1,2019.0,3,2,OMNIBUS,,,3.2,5,0-5 años,True,SIERRA,SUR,2010s,mtc_pasajeros
4,VFR965,2,2,2019.0,4,3,CMTA RURAL,,,1.21,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
5,C4Q959,3,3,2012.0,2,4,OMNIBUS,,,7.54,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
6,VFO969,3,4,2019.0,5,5,OMNIBUS,,,6.8,5,0-5 años,True,SIERRA,CENTRO,2010s,mtc_pasajeros
7,F6J968,4,5,2019.0,6,6,CMTA RURAL,,,1.76,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
8,T9B968,1,6,2018.0,1,7,OMNIBUS,,,2.38,6,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
9,A9Y969,3,7,2007.0,2,5,OMNIBUS,,,8.25,17,16-20 años,False,COSTA,LIMA,2000s,mtc_pasajeros
10,T9C958,1,6,2018.0,2,7,OMNIBUS,,,2.38,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
11,C6H964,4,8,2013.0,2,6,CMTA RURAL,,,1.67,11,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
12,T1X799,5,8,2013.0,7,8,OMNIBUS,,,2.93,11,11-15 años,False,COSTA,SUR,2010s,mtc_pasajeros
13,T4H951,5,8,2008.0,4,8,OMNIBUS,,,2.3,16,16-20 años,False,COSTA,SUR,2000s,mtc_pasajeros
14,T8Z958,1,1,2018.0,8,9,OMNIBUS,,,5.63,6,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
15,F4T962,3,9,2018.0,2,5,OMNIBUS,,,5.6,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
16,V0K232,4,10,2019.0,2,10,CMTA RURAL,,,2.26,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
